Data
    Intellect Design    690.90  692.60  
    NTPC    210.00  210.45  
    REC    194.25  196.95  
    Zomato    86.80  87.25  
    Ajanta Pharma    1615.75  1735.00  
    Bharat Electronics    130.15  131.70  
    Marico    574.35  578.15  
    Birlasoft    415.90  424.70  
    DLF    515.60  517.80  
    Colgate Palmol. (I)    2049.30  2062.10  
    Dr. Reddy''s Lab    5583.00  5618.00  
    Power Finance Corp    255.85  260.15  
    Tata Communications    1771.85  1779.80  
    Godrej Properties    1751.95  1769.00  
    Bharat Forge    902.85  920.95  
